2022-03-03 10:04:17.926 [main] INFO  com.liang.netty.demo.NettyServiceApplication[664]%H: The following profiles are active: local
2022-03-03 10:04:18.260 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[250]%H: Multiple Spring Data modules found, entering strict repository configuration mode!
2022-03-03 10:04:18.262 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[128]%H: Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-03-03 10:04:18.277 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[188]%H: Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2022-03-03 10:04:18.435 [main] INFO  org.springframework.cloud.context.scope.GenericScope[288]%H: BeanFactory id=b8df5c27-42f0-3731-9124-df4a20a1943e
2022-03-03 10:04:18.710 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer[108]%H: Tomcat initialized with port(s): 9945 (http)
2022-03-03 10:04:18.722 [main] INFO  org.apache.coyote.http11.Http11NioProtocol[173]%H: Initializing ProtocolHandler ["http-nio-9945"]
2022-03-03 10:04:18.722 [main] INFO  org.apache.catalina.core.StandardService[173]%H: Starting service [Tomcat]
2022-03-03 10:04:18.722 [main] INFO  org.apache.catalina.core.StandardEngine[173]%H: Starting Servlet engine: [Apache Tomcat/9.0.43]
2022-03-03 10:04:18.854 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/][173]%H: Initializing Spring embedded WebApplicationContext
2022-03-03 10:04:18.855 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext[289]%H: Root WebApplicationContext: initialization completed in 915 ms
2022-03-03 10:04:19.007 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor[181]%H: Initializing ExecutorService 'applicationTaskExecutor'
2022-03-03 10:04:19.689 [main] INFO  org.apache.coyote.http11.Http11NioProtocol[173]%H: Starting ProtocolHandler ["http-nio-9945"]
2022-03-03 10:04:19.704 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer[220]%H: Tomcat started on port(s): 9945 (http) with context path ''
2022-03-03 10:04:19.876 [main] INFO  com.liang.netty.demo.NettyServiceApplication[61]%H: Started NettyServiceApplication in 2.893 seconds (JVM running for 3.825)
2022-03-03 10:05:45.555 [http-nio-9945-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/][173]%H: Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-03-03 10:05:45.555 [http-nio-9945-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet[525]%H: Initializing Servlet 'dispatcherServlet'
2022-03-03 10:05:45.557 [http-nio-9945-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet[547]%H: Completed initialization in 0 ms
2022-03-03 10:35:28.548 [main] INFO  com.liang.netty.demo.server.NettyServer[42]%H: 服务器启动开始监听端口: 8088
2022-03-03 10:51:51.371 [main] INFO  com.liang.netty.demo.server.NettyServer[42]%H: 服务器启动开始监听端口: 8088
2022-03-03 10:53:35.467 [main] INFO  com.liang.netty.demo.NettyServiceApplication[664]%H: The following profiles are active: local
2022-03-03 10:53:35.797 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[250]%H: Multiple Spring Data modules found, entering strict repository configuration mode!
2022-03-03 10:53:35.799 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[128]%H: Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-03-03 10:53:35.816 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[188]%H: Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2022-03-03 10:53:35.909 [main] INFO  org.springframework.cloud.context.scope.GenericScope[288]%H: BeanFactory id=b8df5c27-42f0-3731-9124-df4a20a1943e
2022-03-03 10:53:36.109 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer[108]%H: Tomcat initialized with port(s): 9945 (http)
2022-03-03 10:53:36.120 [main] INFO  org.apache.coyote.http11.Http11NioProtocol[173]%H: Initializing ProtocolHandler ["http-nio-9945"]
2022-03-03 10:53:36.121 [main] INFO  org.apache.catalina.core.StandardService[173]%H: Starting service [Tomcat]
2022-03-03 10:53:36.121 [main] INFO  org.apache.catalina.core.StandardEngine[173]%H: Starting Servlet engine: [Apache Tomcat/9.0.43]
2022-03-03 10:53:36.243 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/][173]%H: Initializing Spring embedded WebApplicationContext
2022-03-03 10:53:36.244 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext[289]%H: Root WebApplicationContext: initialization completed in 762 ms
2022-03-03 10:53:36.383 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor[181]%H: Initializing ExecutorService 'applicationTaskExecutor'
2022-03-03 10:53:37.182 [main] INFO  org.apache.coyote.http11.Http11NioProtocol[173]%H: Starting ProtocolHandler ["http-nio-9945"]
2022-03-03 10:53:37.214 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer[220]%H: Tomcat started on port(s): 9945 (http) with context path ''
2022-03-03 10:53:37.502 [main] INFO  com.liang.netty.demo.NettyServiceApplication[61]%H: Started NettyServiceApplication in 2.941 seconds (JVM running for 3.877)
2022-03-03 10:53:47.982 [main] INFO  com.liang.netty.demo.server.NettyServer[42]%H: 服务器启动开始监听端口: 8088
2022-03-03 10:56:03.972 [main] INFO  com.liang.netty.demo.NettyServiceApplication[664]%H: The following profiles are active: local
2022-03-03 10:56:04.318 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[250]%H: Multiple Spring Data modules found, entering strict repository configuration mode!
2022-03-03 10:56:04.320 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[128]%H: Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-03-03 10:56:04.338 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate[188]%H: Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2022-03-03 10:56:04.464 [main] INFO  org.springframework.cloud.context.scope.GenericScope[288]%H: BeanFactory id=b8df5c27-42f0-3731-9124-df4a20a1943e
2022-03-03 10:56:04.788 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer[108]%H: Tomcat initialized with port(s): 9945 (http)
2022-03-03 10:56:04.801 [main] INFO  org.apache.coyote.http11.Http11NioProtocol[173]%H: Initializing ProtocolHandler ["http-nio-9945"]
2022-03-03 10:56:04.801 [main] INFO  org.apache.catalina.core.StandardService[173]%H: Starting service [Tomcat]
2022-03-03 10:56:04.801 [main] INFO  org.apache.catalina.core.StandardEngine[173]%H: Starting Servlet engine: [Apache Tomcat/9.0.43]
2022-03-03 10:56:04.893 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/][173]%H: Initializing Spring embedded WebApplicationContext
2022-03-03 10:56:04.894 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext[289]%H: Root WebApplicationContext: initialization completed in 908 ms
2022-03-03 10:56:05.026 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor[181]%H: Initializing ExecutorService 'applicationTaskExecutor'
2022-03-03 10:56:05.673 [main] INFO  org.apache.coyote.http11.Http11NioProtocol[173]%H: Starting ProtocolHandler ["http-nio-9945"]
2022-03-03 10:56:05.689 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer[220]%H: Tomcat started on port(s): 9945 (http) with context path ''
2022-03-03 10:56:05.900 [main] INFO  com.liang.netty.demo.NettyServiceApplication[61]%H: Started NettyServiceApplication in 2.833 seconds (JVM running for 3.751)
2022-03-03 10:56:10.133 [main] INFO  com.liang.netty.demo.server.NettyServer[44]%H: 服务器启动开始监听端口: 8088
